PC_name,Caption,Description,IdentifyingNumber,InstallDate,InstallLocation,Language,Name,ProductID,URLInfoAbout,URLUpdateInfo,Vendor,Version,Date_local,Date_universal_microsecond
"My PC","Python 3.7.5 pip Bootstrap (64-bit)","Python 3.7.5 pip Bootstrap (64-bit)","{2E590D5A-4E40-4C9C-AFF8-7CB80F085752}","20200116","None","1033","Python 3.7.5 pip Bootstrap (64-bit)","None","None","None","Python Software Foundation","3.7.5150.0","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Python 3.7.5 Standard Library (64-bit)","Python 3.7.5 Standard Library (64-bit)","{45CB356A-C0DF-430E-B75F-7764DBA06DF9}","20200116","None","1033","Python 3.7.5 Standard Library (64-bit)","None","None","None","Python Software Foundation","3.7.5150.0","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Blender","Blender","{F343C69A-4ABA-434C-9C73-12A519D269CD}","20191116","C:\Program Files\Blender Foundation\Blender\","1033","Blender","None","None","None","Blender Foundation","2.80.0","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","DaVinci Resolve","DaVinci Resolve","{8CD009CC-08AB-4873-BA5C-DC4AEA8BACEB}","20201027","None","1033","DaVinci Resolve","None","None","None","Blackmagic Design","16.2.7010","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Python 3.7.5 Test Suite (64-bit)","Python 3.7.5 Test Suite (64-bit)","{1822F1DC-2972-499D-9FE2-C27395C06766}","20200116","None","1033","Python 3.7.5 Test Suite (64-bit)","None","None","None","Python Software Foundation","3.7.5150.0","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Microsoft Office a portata di clic 2010","Microsoft Office a portata di clic 2010","{90140000-006D-0410-1000-0000000FF1CE}","20190927","None","1040","Microsoft Office a portata di clic 2010","None","None","None","Microsoft Corporation","14.0.6122.5000","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","NI Logos 19.0","NI Logos 19.0","{60684600-163F-45D7-83DB-E247FA48D81F}","20200415","None","0","NI Logos 19.0","none","http://www.ni.com/support/","None","National Instruments","19.00.49152","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Microsoft .NET Framework 4.5.1 Multi-Targeting Pack","Microsoft .NET Framework 4.5.1 Multi-Targeting Pack","{6A0C6700-EA93-372C-8871-DCCF13D160A4}","20190603","None","1033","Microsoft .NET Framework 4.5.1 Multi-Targeting Pack","None","None","None","Microsoft Corporation","4.5.50932","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","NI LabWindows/CVI Shared Runtime 2019","NI LabWindows/CVI Shared Runtime 2019","{2EB63900-C920-494E-9F7B-56E6B2DCBEE9}","20200415","None","0","NI LabWindows/CVI Shared Runtime 2019","None","None","None","National Instruments","19.00.49152","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Active Directory Authentication Library for SQL Server","Active Directory Authentication Library for SQL Server","{33864900-8C29-4963-8B76-7BF3CB548718}","20190603","None","1040","Active Directory Authentication Library for SQL Server","None","None","None","Microsoft Corporation","15.0.1300.359","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","NI Circuit Design Suite Databases","NI Circuit Design Suite Databases","{37DBCA00-10A2-4BC8-A3C2-4F1A6E3D2AC5}","20200415","None","9","NI Circuit Design Suite Databases","none","http://www.ni.com/support/","None","National Instruments","14.20.49251","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","NI LabVIEW Runtime 2018 SP1 f3","NI LabVIEW Runtime 2018 SP1 f3","{C5ABCE00-1C4C-4C99-980E-D15086F27D17}","20200415","None","0","NI LabVIEW Runtime 2018 SP1 f3","none","http://www.ni.com/support/","None","National Instruments","18.60.49152","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","NI Trace Engine","NI Trace Engine","{5156FF00-C463-4A1F-9063-F7012042E7F0}","20200415","None","9","NI Trace Engine","none","http://www.ni.com/support/","None","National Instruments","19.00.49152","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Microsoft .NET Core AppHost Pack - 3.1.10 (x64_arm64)","Microsoft .NET Core AppHost Pack - 3.1.10 (x64_arm64)","{5667F410-89D4-4ED4-A40B-E4746ADE0865}","20201209","None","1033","Microsoft .NET Core AppHost Pack - 3.1.10 (x64_arm64)","None","None","None","Microsoft Corporation","24.104.29419","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Python 3.7.8 pip Bootstrap (64-bit)","Python 3.7.8 pip Bootstrap (64-bit)","{AD820C10-4106-47D5-B6BD-4B3CEA93E429}","20200919","None","1033","Python 3.7.8 pip Bootstrap (64-bit)","None","None","None","Python Software Foundation","3.7.8150.0","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Python 3.8.6 Development Libraries (64-bit)","Python 3.8.6 Development Libraries (64-bit)","{59704C10-77A1-4D72-A97B-8FB2A933985B}","20201004","None","1033","Python 3.8.6 Development Libraries (64-bit)","None","None","None","Python Software Foundation","3.8.6150.0","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Universal CRT Headers Libraries and Sources","Universal CRT Headers Libraries and Sources","{74CBC330-ED16-31B9-E8BE-0C6A8E67DE32}","20191013","None","1033","Universal CRT Headers Libraries and Sources","None","None","None","Microsoft Corporation","10.1.18362.1","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","MSI Development Tools","MSI Development Tools","{6C961B30-A670-8A05-3BFE-3947E84DD4E4}","20190603","None","1033","MSI Development Tools","None","None","None","Microsoft Corporation","10.1.17763.132","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Windows SDK for Windows Store Apps DirectX x86 Remote","Windows SDK for Windows Store Apps DirectX x86 Remote","{929C5E30-584A-9E44-2C03-08AA27927317}","20190603","None","1033","Windows SDK for Windows Store Apps DirectX x86 Remote","None","None","None","Microsoft Corporation","10.1.17763.132","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Microsoft .NET Core AppHost Pack - 3.1.10 (x64)","Microsoft .NET Core AppHost Pack - 3.1.10 (x64)","{34E3DE30-8922-4482-AD29-DB60F8F37B40}","20201209","None","1033","Microsoft .NET Core AppHost Pack - 3.1.10 (x64)","None","None","None","Microsoft Corporation","24.104.29419","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","NI LabWindows/CVI 2019 .NET Reflector Library","NI LabWindows/CVI 2019 .NET Reflector Library","{F456DB40-F5DF-45FE-A582-83DBED5D6432}","20200415","None","0","NI LabWindows/CVI 2019 .NET Reflector Library","None","None","None","National Instruments","19.00.49152","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","WinRT Intellisense Mobile - en-us","WinRT Intellisense Mobile - en-us","{F6F11150-93DE-0507-FCA0-F746E0207017}","20190603","None","1033","WinRT Intellisense Mobile - en-us","None","None","None","Microsoft Corporation","10.1.17763.132","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Microsoft ASP.NET Core 3.1.10 Shared Framework (x86)","Microsoft ASP.NET Core 3.1.10 Shared Framework (x86)","{717E8150-9C23-3C26-8298-4CF8413E3511}","20201209","None","1033","Microsoft ASP.NET Core 3.1.10 Shared Framework (x86)","None","None","None","Microsoft Corporation","3.1.10.20520","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Intel(R) Wireless Bluetooth(R)","Intel(R) Wireless Bluetooth(R)","{00002060-0200-1040-84C8-B8D95FA3C8C3}","20180908","None","1040","Intel(R) Wireless Bluetooth(R)","None","None","None","Intel Corporation","20.60.2","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Windows SDK EULA","Windows SDK EULA","{2DD06060-C61D-7C3A-AA55-6E3FD9493D61}","20190603","None","1033","Windows SDK EULA","None","None","None","Microsoft Corporations","10.1.17763.132","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","NI LabWindows/CVI Shared Runtime Core 2019","NI LabWindows/CVI Shared Runtime Core 2019","{9AAC2070-B661-4D14-BB09-AC6D664AF07B}","20200415","None","0","NI LabWindows/CVI Shared Runtime Core 2019","None","None","None","National Instruments","19.00.49152","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","vs_helpconfigmsi","vs_helpconfigmsi","{1315E770-A6DB-4569-B769-481D0C9B349E}","20201113","None","1033","vs_helpconfigmsi","None","None","None","Microsoft Corporation","16.8.30509","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","NI LabWindows/CVI 2019 Internet Library","NI LabWindows/CVI 2019 Internet Library","{CE61F080-FB64-4F6C-9763-A3060A0E59E6}","20200415","None","0","NI LabWindows/CVI 2019 Internet Library","None","None","None","National Instruments","19.00.49152","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Windows SDK Redistributables","Windows SDK Redistributables","{34B51780-922E-5CBF-C16F-13F0A9502267}","20191013","None","1033","Windows SDK Redistributables","None","None","None","Microsoft Corporation","10.1.18362.1","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","MSI Development Tools","MSI Development Tools","{DB4DB790-64DD-1902-4BF2-833B3B6DBCA1}","20191013","None","1033","MSI Development Tools","None","None","None","Microsoft Corporation","10.1.18362.1","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","HP Recovery Manager","HP Recovery Manager","{64BAA990-F1FC-4145-A7B1-E41FBBC9DA47}","20180310","None","1033","HP Recovery Manager","None","None","None","HP","1.2.1510","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","NI ActiveX Container (64-bit)","NI ActiveX Container (64-bit)","{168152A0-6ECA-472B-8157-01E280F6D158}","20200415","None","9","NI ActiveX Container (64-bit)","none","http://www.ni.com/support/","None","National Instruments","17.11.49152","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","WinRT Intellisense PPI - en-us","WinRT Intellisense PPI - en-us","{8329C3A0-8582-D1C2-67FF-800654BFDF45}","20190603","None","1033","WinRT Intellisense PPI - en-us","None","None","None","Microsoft Corporation","10.1.17763.132","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Math Kernel Libraries","Math Kernel Libraries","{6A8A28A0-4568-4718-A3E7-F951C191602B}","20200415","None","0","Math Kernel Libraries","none","http://www.ni.com/support/","None","National Instruments","17.01.49152","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","NI LabWindows/CVI 2019 Network Variable Library","NI LabWindows/CVI 2019 Network Variable Library","{D1027BA0-C959-44E2-B4FA-10386404AF75}","20200415","None","0","NI LabWindows/CVI 2019 Network Variable Library","None","None","None","National Instruments","19.00.49152","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Microsoft ASP.NET Core Module V2 for IIS Express","Microsoft ASP.NET Core Module V2 for IIS Express","{FD58C5B0-8CD3-4B7E-B5F3-B7702C106920}","20200623","None","1033","Microsoft ASP.NET Core Module V2 for IIS Express","None","None","None","Microsoft Corporation","13.1.20087.0","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Python 3.7.8 Standard Library (64-bit)","Python 3.7.8 Standard Library (64-bit)","{68A406B0-F664-4882-8035-4015C78DDC93}","20200919","None","1033","Python 3.7.8 Standard Library (64-bit)","None","None","None","Python Software Foundation","3.7.8150.0","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Windows SDK Desktop Tools x86","Windows SDK Desktop Tools x86","{540ADDB0-7A37-9B99-3568-FD1EA33D3B38}","20191013","None","1033","Windows SDK Desktop Tools x86","None","None","None","Microsoft Corporation","10.1.18362.1","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","NI LabVIEW 2018 Real-Time NBFifo","NI LabVIEW 2018 Real-Time NBFifo","{327F1AC0-F044-4E66-80C1-60E5DE0C3F25}","20200415","None","0","NI LabVIEW 2018 Real-Time NBFifo","none","http://www.ni.com/support/","None","National Instruments","18.01.49152","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","NI LabWindows/CVI 2017 Low-Level Driver (Original)","NI LabWindows/CVI 2017 Low-Level Driver (Original)","{9BB3D4D0-8F6C-4884-93EA-4B86E49E84D3}","20200415","None","0","NI LabWindows/CVI 2017 Low-Level Driver (Original)","None","None","None","National Instruments","17.50.49152","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","GitHub CLI","GitHub CLI","{220131F0-CD9E-4C59-88B6-5E0B60DF0417}","20201205","None","1033","GitHub CLI","None","None","None","GitHub, Inc.","1.3.1","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Microsoft .NET Framework 4.5 Multi-Targeting Pack","Microsoft .NET Framework 4.5 Multi-Targeting Pack","{56E962F0-4FB0-3C67-88DB-9EAA6EEFC493}","20190603","None","1033","Microsoft .NET Framework 4.5 Multi-Targeting Pack","None","None","None","Microsoft Corporation","4.5.50710","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Windows SDK Desktop Tools x64","Windows SDK Desktop Tools x64","{795E8F11-37DE-611E-921E-7D70BE09BF7B}","20191013","None","1033","Windows SDK Desktop Tools x64","None","None","None","Microsoft Corporation","10.1.18362.1","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Python 3.8.6 Documentation (32-bit)","Python 3.8.6 Documentation (32-bit)","{03B01321-EE9C-4266-BCA3-EC2B4790D79F}","20201004","None","1033","Python 3.8.6 Documentation (32-bit)","None","None","None","Python Software Foundation","3.8.6150.0","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Windows SDK Desktop Headers arm","Windows SDK Desktop Headers arm","{BFC2CA21-326B-90D1-B0E5-F1327411D4A5}","20190603","None","1033","Windows SDK Desktop Headers arm","None","None","None","Microsoft Corporation","10.1.17763.132","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40660","Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40660","{E30D8B21-D82D-3211-82CC-0F0A5D1495E8}","20190406","None","1033","Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40660","None","None","None","Microsoft Corporation","12.0.40660","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","NI License Manager","NI License Manager","{4475EC31-07FE-4145-878E-D6ADC4483748}","20200415","None","0","NI License Manager","none","http://www.ni.com/support/","None","National Instruments","4.40.49154","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","NI Circuit Design Suite 14.2 Core","NI Circuit Design Suite 14.2 Core","{C85E6F31-702B-476E-B44D-F6EC4092DAC2}","20200415","None","0","NI Circuit Design Suite 14.2 Core","none","http://www.ni.com/support/","None","National Instruments","14.20.49240","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","WinRT Intellisense PPI - en-us","WinRT Intellisense PPI - en-us","{66483041-F590-EC46-4AF0-EE39C62FB680}","20191013","None","1033","WinRT Intellisense PPI - en-us","None","None","None","Microsoft Corporation","10.1.18362.1","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","NI LabVIEW Runtime 2017 SP1 f3","NI LabVIEW Runtime 2017 SP1 f3","{085A7141-FB86-4664-AA46-2B9C6AE2922C}","20200415","None","0","NI LabVIEW Runtime 2017 SP1 f3","none","http://www.ni.com/support/","None","National Instruments","17.60.49152","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","WinRT Intellisense UAP - Other Languages","WinRT Intellisense UAP - Other Languages","{250D5341-0879-4016-399C-BBCD87B80E95}","20191013","None","1033","WinRT Intellisense UAP - Other Languages","None","None","None","Microsoft Corporation","10.1.18362.1","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Autodesk Material Library 2020","Autodesk Material Library 2020","{B9312A51-41B5-479D-9F72-E7448A2D89AF}","20190512","None","1033","Autodesk Material Library 2020","None","http://www.autodesk.com","None","Autodesk","18.11.1.0","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Microsoft .NET CoreRuntime For CoreCon","Microsoft .NET CoreRuntime For CoreCon","{48A8F171-52F2-372B-8414-EA50617708BE}","20190603","None","1033","Microsoft .NET CoreRuntime For CoreCon","None","None","None","Microsoft Corporation","1.0.0.0","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Microsoft .NET Core AppHost Pack - 3.1.10 (x64_arm)","Microsoft .NET Core AppHost Pack - 3.1.10 (x64_arm)","{D34E8081-69CE-4EC2-B206-00C1BF95DF65}","20201209","None","1033","Microsoft .NET Core AppHost Pack - 3.1.10 (x64_arm)","None","None","None","Microsoft Corporation","24.104.29419","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Python 3.9.1 Core Interpreter (64-bit)","Python 3.9.1 Core Interpreter (64-bit)","{1C00F581-D5BF-491E-B1BB-72AA3A2250E5}","20201208","None","1033","Python 3.9.1 Core Interpreter (64-bit)","None","None","None","Python Software Foundation","3.9.1150.0","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","NI Update Service 19.0 (64-bit)","NI Update Service 19.0 (64-bit)","{7921EC81-0F69-4E0F-BD15-25F3916FA394}","20200415","None","9","NI Update Service 19.0 (64-bit)","none","http://www.ni.com/support/","None","National Instruments","19.00.49152","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","NI Help Assistant 2.2.0","NI Help Assistant 2.2.0","{40181E81-8E14-435C-8D7B-ACF206717FCA}","20200415","None","9","NI Help Assistant 2.2.0","None","None","None","National Instruments","2.20.49152","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Microsoft .NET Core 2.1 Templates 5.0.101 (x64)","Microsoft .NET Core 2.1 Templates 5.0.101 (x64)","{9F52DE81-1B70-4451-AB48-A7E5072CCE60}","20201209","None","1033","Microsoft .NET Core 2.1 Templates 5.0.101 (x64)","None","None","None","Microsoft Corporation","8.22.29033","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Microsoft VC++ redistributables repacked.","Microsoft VC++ redistributables repacked.","{D24D2291-46A5-4E32-A859-962778199D23}","20190901","None","1033","Microsoft VC++ redistributables repacked.","None","None","None","Intel Corporation","12.0.0.0","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","{1D8E6291-B0D5-35EC-8441-6616F567A0F7}","20171110","None","0","Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","None","None","None","Microsoft Corporation","10.0.40219","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","HP ePrint SW","HP ePrint SW","{4C246A91-6BAE-450E-BDEA-70D01663DF43}","20171110","None","1033","HP ePrint SW","None","None","None","HP Inc.","5.5.22560","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Fairlight Studio Utility","Fairlight Studio Utility","{6C7FC3A1-DA64-4ACE-8F05-301CBECD5BE9}","20200906","None","1033","Fairlight Studio Utility","None","None","None","Blackmagic Design","1.2.0.0","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Windows SDK for Windows Store Managed Apps Libs","Windows SDK for Windows Store Managed Apps Libs","{9A0DC6A1-E91D-EB94-FB4D-41DDDE8A225D}","20190603","None","1033","Windows SDK for Windows Store Managed Apps Libs","None","None","None","Microsoft Corporation","10.1.17763.132","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","NI Curl 2019","NI Curl 2019","{B29007A1-E053-46E4-8A51-6803638AF06D}","20200415","None","9","NI Curl 2019","none","http://www.ni.com/support/","None","National Instruments","19.00.49152","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Microsoft SQL Server 2016 LocalDB ","Microsoft SQL Server 2016 LocalDB ","{0A73A7A1-A11A-4037-9B48-7EF22B13600B}","20190603","None","1040","Microsoft SQL Server 2016 LocalDB ","None","None","None","Microsoft Corporation","13.1.4001.0","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Microsoft Visual C++ 2005 Redistributable (x64)","Microsoft Visual C++ 2005 Redistributable (x64)","{ad8a2fa1-06e7-4b0d-927d-6e54b3d31028}","20171110","None","0","Microsoft Visual C++ 2005 Redistributable (x64)","None","None","None","Microsoft Corporation","8.0.61000","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","NI Error Reporting Interface 19.0 for Windows (64-bit)","NI Error Reporting Interface 19.0 for Windows (64-bit)","{F45959B1-0729-4CF7-8DAF-4EA9F59AB8CF}","20200415","None","9","NI Error Reporting Interface 19.0 for Windows (64-bit)","none","http://www.ni.com/support/","None","National Instruments","19.00.49152","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Catalyst Control Center Next Localization TH","Catalyst Control Center Next Localization TH","{BBDA6EB1-1E6E-85FD-1560-0B0538F987AD}","20180613","C:\Program Files\AMD\","1033","Catalyst Control Center Next Localization TH","none","http://www.amd.com","None","Advanced Micro Devices, Inc.","2017.0517.1614.27405","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Windows SDK","Windows SDK","{3A98BFB1-16A6-576B-FFC8-7FEF26B40DBA}","20191013","None","1033","Windows SDK","None","None","None","Microsoft Corporation","10.1.18362.1","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","NI LabWindows/CVI 2019 Network Variable Library (64-bit)","NI LabWindows/CVI 2019 Network Variable Library (64-bit)","{061362C1-CF25-4A38-B124-99E07E48D95C}","20200415","None","0","NI LabWindows/CVI 2019 Network Variable Library (64-bit)","None","None","None","National Instruments","19.00.49152","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Microsoft .NET Framework 4.7.2 SDK","Microsoft .NET Framework 4.7.2 SDK","{F42C96C1-746B-442A-B58C-9F0FD5F3AB8A}","20190603","None","1033","Microsoft .NET Framework 4.7.2 SDK","None","None","None","Microsoft Corporation","4.7.03081","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","{F0C3E5D1-1ADE-321E-8167-68EF0DE699A5}","20171110","None","0","Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","None","None","None","Microsoft Corporation","10.0.40219","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","vs_BlendMsi","vs_BlendMsi","{B5E3A3E1-1529-4D5A-9E95-34971FA07825}","20190603","None","1033","vs_BlendMsi","None","None","None","Microsoft Corporation","16.0.28329","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Windows SDK for Windows Store Apps Contracts","Windows SDK for Windows Store Apps Contracts","{C13D21F1-E9A3-FB93-18C4-B905FB47F122}","20191013","None","1033","Windows SDK for Windows Store Apps Contracts","None","None","None","Microsoft Corporation","10.1.18362.1","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Windows SDK Signing Tools","Windows SDK Signing Tools","{4CA7ABF1-DB68-0F9E-5AD9-58550198D0AC}","20191013","None","1033","Windows SDK Signing Tools","None","None","None","Microsoft Corporation","10.1.18362.1","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Math Kernel Libraries (64-bit)","Math Kernel Libraries (64-bit)","{C8AE1FF1-C898-4171-B03B-94D5E487C2D8}","20200415","None","9","Math Kernel Libraries (64-bit)","none","http://www.ni.com/support/","None","National Instruments","17.01.49152","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Windows IoT Extension SDK","Windows IoT Extension SDK","{110B5402-97D4-DDA2-7B42-665D8325A44F}","20190603","None","1033","Windows IoT Extension SDK","None","None","None","Microsoft Corporation","10.1.17763.132","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Microsoft Visual C++ 2019 X86 Minimum Runtime - 14.28.29334","Microsoft Visual C++ 2019 X86 Minimum Runtime - 14.28.29334","{0D01A812-82A1-481F-8546-8E28E976F8DF}","20201122","None","1033","Microsoft Visual C++ 2019 X86 Minimum Runtime - 14.28.29334","None","None","None","Microsoft Corporation","14.28.29334","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","NI LabWindows/CVI 2019 .NET Library (64-bit)","NI LabWindows/CVI 2019 .NET Library (64-bit)","{F18FEE12-37AB-427B-9E79-2976020ADC05}","20200415","None","0","NI LabWindows/CVI 2019 .NET Library (64-bit)","None","None","None","National Instruments","19.00.49152","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Windows SDK EULA","Windows SDK EULA","{5F56BF12-0818-B58A-5862-939784E12F8B}","20191013","None","1033","Windows SDK EULA","None","None","None","Microsoft Corporations","10.1.18362.1","2020-12-12 20:52:57.426928","1607802777.426928"
